pickup,delivery,distance,equipment,weight,date,predicted_rate,pickup_lat,pickup_lon,delivery_lat,delivery_lon,pickup_lat_real,pickup_lon_real,pickup_state,pickup_region,pickup_coordinate_lookup_missing_flag,delivery_lat_real,delivery_lon_real,delivery_state,delivery_region,delivery_coordinate_lookup_missing_flag,raw_coordinate_available_flag,pickup_coordinate_error_miles,delivery_coordinate_error_miles,coordinate_error_flag,source_haversine_miles,real_haversine_miles,real_lat_delta,real_lon_delta,real_lat_abs,real_lon_abs,same_region_flag,same_city_flag,region_pair,bearing_sin,bearing_cos,distance_original,distance_log1p,distance_sqrt,real_haversine_log1p,distance_real_gap,distance_real_ratio,distance_impossible_flag,distance_band,date_invalid_flag,year,month,day_of_month,day_of_week,week_of_year,day_of_year,day_index,is_weekend,is_holiday,days_to_christmas,days_from_thanksgiving,day_of_year_sin,day_of_year_cos,day_of_week_sin,day_of_week_cos,weight_negative_flag,weight_missing_flag,weight_clean,weight_capacity_ratio,weight_over_30000_flag,weight_over_40000_flag,weight_band,market_index,quote_signal,market_index_missing_flag,quote_signal_missing_flag,market_index_clean,quote_signal_clean,market_index_centered,market_index_squared,quote_centered,quote_extremeness,quote_extremeness_squared,market_x_distance,quote_x_equipment,route_id,route_equipment_id
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,,,,,,38.0406,-84.5037,KY,Southeast,0,41.0793,-85.1394,IN,Midwest,0,0,,,,,212.66547531796695,3.0387000000000057,-0.6356999999999999,3.0387000000000057,0.6356999999999999,0,0,Southeast_to_Midwest,-0.15575733841793893,0.9877953490116056,360,5.8888779583328805,18.973665961010276,5.364411592502072,147.33452468203305,1.6848767891221774,0.0,regional,0,2025,12,1,0,49,335,334,0,0,24,4,-0.4972040784469378,0.8676336233547726,0.0,1.0,0,0,32000,0.6736842105263158,1,0,heavy,,,1,1,0.83348,2.05861,-0.22232000000000007,0.04942618240000003,0.008610000000000007,0.008610000000000007,7.413210000000012e-05,4.908262000711289,0.0,Lexington__Fort Wayne,Lexington__Fort Wayne__Dry Van
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,,,,,,38.0406,-84.5037,KY,Southeast,0,41.0793,-85.1394,IN,Midwest,0,0,,,,,212.66547531796695,3.0387000000000057,-0.6356999999999999,3.0387000000000057,0.6356999999999999,0,0,Southeast_to_Midwest,-0.15575733841793893,0.9877953490116056,360,5.8888779583328805,18.973665961010276,5.364411592502072,147.33452468203305,1.6848767891221774,0.0,regional,0,2025,12,2,1,49,336,335,0,0,23,5,-0.4822058478963526,0.8760579434344281,0.7818314824680298,0.6234898018587336,0,0,32000,0.6736842105263158,1,0,heavy,,,1,1,0.91466,2.04049,-0.14114000000000004,0.019920499600000013,-0.009509999999999685,0.009509999999999685,9.044009999999401e-05,5.386321113368752,0.0,Lexington__Fort Wayne,Lexington__Fort Wayne__Dry Van
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,,,,,,38.0406,-84.5037,KY,Southeast,0,41.0793,-85.1394,IN,Midwest,0,0,,,,,212.66547531796695,3.0387000000000057,-0.6356999999999999,3.0387000000000057,0.6356999999999999,0,0,Southeast_to_Midwest,-0.15575733841793893,0.9877953490116056,360,5.8888779583328805,18.973665961010276,5.364411592502072,147.33452468203305,1.6848767891221774,0.0,regional,0,2025,12,3,2,49,337,336,0,0,22,6,-0.46706492487743034,0.8842230238742036,0.9749279121818236,-0.22252093395631434,0,0,32000,0.6736842105263158,1,0,heavy,,,1,1,0.99442,2.03694,-0.0613800000000001,0.0037675044000000124,-0.01305999999999985,0.01305999999999985,0.00017056359999999607,5.856018019325383,0.0,Lexington__Fort Wayne,Lexington__Fort Wayne__Dry Van
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,,,,,,38.0406,-84.5037,KY,Southeast,0,41.0793,-85.1394,IN,Midwest,0,0,,,,,212.66547531796695,3.0387000000000057,-0.6356999999999999,3.0387000000000057,0.6356999999999999,0,0,Southeast_to_Midwest,-0.15575733841793893,0.9877953490116056,360,5.8888779583328805,18.973665961010276,5.364411592502072,147.33452468203305,1.6848767891221774,0.0,regional,0,2025,12,4,3,49,338,337,0,0,21,7,-0.451785789832884,0.8921264484954345,0.43388373911755823,-0.900968867902419,0,0,32000,0.6736842105263158,1,0,heavy,,,1,1,1.025015,2.0667,-0.030785000000000062,0.0009477162250000038,0.01670000000000016,0.01670000000000016,0.0002788900000000053,6.036188240460578,0.0,Lexington__Fort Wayne,Lexington__Fort Wayne__Dry Van
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,,,,,,38.0406,-84.5037,KY,Southeast,0,41.0793,-85.1394,IN,Midwest,0,0,,,,,212.66547531796695,3.0387000000000057,-0.6356999999999999,3.0387000000000057,0.6356999999999999,0,0,Southeast_to_Midwest,-0.15575733841793893,0.9877953490116056,360,5.8888779583328805,18.973665961010276,5.364411592502072,147.33452468203305,1.6848767891221774,0.0,regional,0,2025,12,5,4,49,339,338,0,0,20,8,-0.4363729641045924,0.8997658785476209,-0.433883739117558,-0.9009688679024191,0,0,32000,0.6736842105263158,1,0,heavy,,,1,1,0.9749,2.06752,-0.08090000000000008,0.006544810000000014,0.017520000000000202,0.017520000000000202,0.0003069504000000071,5.741067121578725,0.0,Lexington__Fort Wayne,Lexington__Fort Wayne__Dry Van
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,,,,,,38.0406,-84.5037,KY,Southeast,0,41.0793,-85.1394,IN,Midwest,0,0,,,,,212.66547531796695,3.0387000000000057,-0.6356999999999999,3.0387000000000057,0.6356999999999999,0,0,Southeast_to_Midwest,-0.15575733841793893,0.9877953490116056,360,5.8888779583328805,18.973665961010276,5.364411592502072,147.33452468203305,1.6848767891221774,0.0,regional,0,2025,12,6,5,49,340,339,1,0,19,9,-0.42083100859565564,0.9071390534005044,-0.9749279121818236,-0.2225209339563146,0,0,32000,0.6736842105263158,1,0,heavy,,,1,1,0.889795,2.044125,-0.16600500000000007,0.027557660025000024,-0.0058749999999996305,0.0058749999999996305,3.451562499999566e-05,5.239894162934806,0.0,Lexington__Fort Wayne,Lexington__Fort Wayne__Dry Van
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,,,,,,38.0406,-84.5037,KY,Southeast,0,41.0793,-85.1394,IN,Midwest,0,0,,,,,212.66547531796695,3.0387000000000057,-0.6356999999999999,3.0387000000000057,0.6356999999999999,0,0,Southeast_to_Midwest,-0.15575733841793893,0.9877953490116056,360,5.8888779583328805,18.973665961010276,5.364411592502072,147.33452468203305,1.6848767891221774,0.0,regional,0,2025,12,7,6,49,341,340,1,0,18,10,-0.4051645224207563,0.9142437912130223,-0.7818314824680299,0.6234898018587334,0,0,32000,0.6736842105263158,1,0,heavy,,,1,1,0.82947,2.03977,-0.22633000000000003,0.051225268900000016,-0.010229999999999961,0.010229999999999961,0.00010465289999999921,4.884647600098375,0.0,Lexington__Fort Wayne,Lexington__Fort Wayne__Dry Van
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,,,,,,38.0406,-84.5037,KY,Southeast,0,41.0793,-85.1394,IN,Midwest,0,0,,,,,212.66547531796695,3.0387000000000057,-0.6356999999999999,3.0387000000000057,0.6356999999999999,0,0,Southeast_to_Midwest,-0.15575733841793893,0.9877953490116056,360,5.8888779583328805,18.973665961010276,5.364411592502072,147.33452468203305,1.6848767891221774,0.0,regional,0,2025,12,8,0,50,342,341,0,0,17,11,-0.3893781415452015,0.9210779895789526,0.0,1.0,0,0,32000,0.6736842105263158,1,0,heavy,,,1,1,0.84001,2.02034,-0.21579000000000004,0.04656532410000001,-0.029659999999999798,0.029659999999999798,0.0008797155999999879,4.9467163737792035,0.0,Lexington__Fort Wayne,Lexington__Fort Wayne__Dry Van
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,,,,,,38.0406,-84.5037,KY,Southeast,0,41.0793,-85.1394,IN,Midwest,0,0,,,,,212.66547531796695,3.0387000000000057,-0.6356999999999999,3.0387000000000057,0.6356999999999999,0,0,Southeast_to_Midwest,-0.15575733841793893,0.9877953490116056,360,5.8888779583328805,18.973665961010276,5.364411592502072,147.33452468203305,1.6848767891221774,0.0,regional,0,2025,12,9,1,50,343,342,0,0,16,12,-0.37347653741307074,0.9276396261490467,0.7818314824680298,0.6234898018587336,0,0,32000,0.6736842105263158,1,0,heavy,,,1,1,0.91595,2.06091,-0.13985000000000003,0.019558022500000008,0.010909999999999975,0.010909999999999975,0.00011902809999999946,5.393917765935003,0.0,Lexington__Fort Wayne,Lexington__Fort Wayne__Dry Van
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,,,,,,38.0406,-84.5037,KY,Southeast,0,41.0793,-85.1394,IN,Midwest,0,0,,,,,212.66547531796695,3.0387000000000057,-0.6356999999999999,3.0387000000000057,0.6356999999999999,0,0,Southeast_to_Midwest,-0.15575733841793893,0.9877953490116056,360,5.8888779583328805,18.973665961010276,5.364411592502072,147.33452468203305,1.6848767891221774,0.0,regional,0,2025,12,10,2,50,344,343,0,0,15,13,-0.3574644155648614,0.9339267592294762,0.9749279121818236,-0.22252093395631434,0,0,32000,0.6736842105263158,1,0,heavy,,,1,1,1.00061,2.05205,-0.05519000000000007,0.003045936100000008,0.0020500000000001073,0.0020500000000001073,4.20250000000044e-06,5.892470173887464,0.0,Lexington__Fort Wayne,Lexington__Fort Wayne__Dry Van
